brand_name,channel,time_of_day,order_type,is_weekend,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales
Pizzeria,Platform A,4.Late night,DELIVERY,1,0.0,0.0,1.0,58.85
Pizzeria,Platform A,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform A,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform B,1.Morning,DELIVERY,0,4.0,338.11,22.0,1400.08
Pizzeria,Platform B,1.Morning,DELIVERY,1,3.0,197.4,11.0,750.0300000000001
Pizzeria,Platform B,1.Morning,TAKE_AWAY,0,15.0,792.3199999999999,0.0,0.0
Pizzeria,Platform B,1.Morning,TAKE_AWAY,1,9.0,616.85,1.0,235.4
Pizzeria,Platform B,2.Afternoon,DELIVERY,0,22.0,1214.3999999999999,154.0,7678.0099999999975
Pizzeria,Platform B,2.Afternoon,DELIVERY,1,14.0,876.32,88.0,5450.31
Pizzeria,Platform B,2.Afternoon,TAKE_AWAY,0,67.0,3874.979999999999,2.0,95.23
Pizzeria,Platform B,2.Afternoon,TAKE_AWAY,1,34.0,2398.9200000000005,1.0,64.73
Pizzeria,Platform B,3.Evening,DELIVERY,0,26.0,1505.43,107.0,5100.449999999999
Pizzeria,Platform B,3.Evening,DELIVERY,1,10.0,501.81,75.0,4281.330000000002
Pizzeria,Platform B,3.Evening,TAKE_AWAY,0,36.0,2006.7399999999998,2.0,95.23
Pizzeria,Platform B,3.Evening,TAKE_AWAY,1,26.0,1343.33,0.0,0.0
Pizzeria,Platform B,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform B,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform B,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform B,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform C,1.Morning,DELIVERY,0,63.0,5387.410000000001,186.0,9000.489999999998
Pizzeria,Platform C,1.Morning,DELIVERY,1,19.0,1724.8100000000002,84.0,4195.09
Pizzeria,Platform C,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform C,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform C,2.Afternoon,DELIVERY,0,329.0,28686.79999999997,1055.0,49721.14999999997
Pizzeria,Platform C,2.Afternoon,DELIVERY,1,135.0,12420.63,427.0,19751.67999999998
Pizzeria,Platform C,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform C,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform C,3.Evening,DELIVERY,0,244.0,21548.920000000006,907.0,44415.23999999998
Pizzeria,Platform C,3.Evening,DELIVERY,1,121.0,11310.84,512.0,26205.63
Pizzeria,Platform C,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform C,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform C,4.Late night,DELIVERY,0,2.0,180.82999999999998,3.0,104.86000000000001
Pizzeria,Platform C,4.Late night,DELIVERY,1,1.0,115.56,0.0,0.0
Pizzeria,Platform C,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform C,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,1.Morning,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,1.Morning,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,2.Afternoon,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,2.Afternoon,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,3.Evening,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,3.Evening,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform A,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,1.Morning,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,1.Morning,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,2.Afternoon,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,2.Afternoon,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,3.Evening,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,3.Evening,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform B,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,1.Morning,DELIVERY,0,11.0,240.74999999999997,94.0,2270.4
The Brunch Place,Platform C,1.Morning,DELIVERY,1,5.0,94.16000000000001,42.0,1021.8500000000005
The Brunch Place,Platform C,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,2.Afternoon,DELIVERY,0,2.0,43.870000000000005,300.0,7008.219999999988
The Brunch Place,Platform C,2.Afternoon,DELIVERY,1,2.0,47.08,118.0,2715.52
The Brunch Place,Platform C,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,3.Evening,DELIVERY,0,0.0,0.0,181.0,4400.769999999999
The Brunch Place,Platform C,3.Evening,DELIVERY,1,0.0,0.0,66.0,1399.5600000000004
The Brunch Place,Platform C,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
The Brunch Place,Platform C,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
